workspace,opgravingsplan,gebiedsbegrenzing,veldnaam_voor_analyse,bepaling_middelpunt,middelpunt_x,middelpunt_y,bepaling_draaihoek,draaihoek,sleuflengte,interval,afstand,breedte,configuratie,aantal_simulaties,
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,10,20,5,2,Stippellijn,500,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,10,20,2.5,2,Stippellijn,300,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,10,20,1.67,2,Stippellijn,200,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,10,20,1.25,2,Stippellijn,200,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,25,50,40,2,Stippellijn,500,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,25,50,20,2,Stippellijn,500,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,25,50,13.33,2,Stippellijn,500,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,25,50,10,2,Stippellijn,500,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,25,50,8,2,Stippellijn,500,.csv
D:\SIMULATIES PROEFSLEUVEN\simulaties\Poperinge_Sappenleen,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-sporen.shp,D:\SIMULATIES PROEFSLEUVEN\shapefiles\Poperinge_Sappenleen\SAP-perimeter.shp,,Willekeurig,,,Willekeurig,,25,50,6.67,2,Stippellijn,500,.csv
